Recipient Org:Identifier,Funding Org:Identifier,Amount Awarded,Grants
GB-CHC-1111581,GB-CHC-230260,6500.0,1
GB-CHC-1111581,GB-COH-02273708,25000.0,1
GB-CHC-1111581,GB-COH-IP00525R,3410.35,1
GB-CHC-1111713,360G-blf,5400.0,1
GB-CHC-1111713,GB-CHC-1059652,10000.0,1
GB-CHC-1111713,GB-CHC-230260,5000.0,1
GB-CHC-1111713,GB-COH-IP00525R,7097.11,1
GB-CHC-1112095,360G-blf,10000.0,1
GB-CHC-1112095,GB-CHC-205629,90000.0,1
GB-CHC-1112095,GB-CHC-274100,10000.0,1
GB-CHC-1112326,360G-blf,8814.0,1
GB-CHC-1112326,GB-CHC-1105580,4000.0,1
GB-CHC-1112326,GB-CHC-200051,19835.0,1
GB-CHC-1112326,GB-CHC-327114,75000.0,1
GB-CHC-1113125,GB-CHC-1035628,150600.0,1
GB-CHC-1113125,GB-CHC-230260,25000.0,1
GB-CHC-1113125,GB-COH-IP00525R,5589.61,2
GB-CHC-1113330,360G-blf,9720.0,1
GB-CHC-1113330,GB-CHC-230260,15000.0,1
GB-CHC-1113330,GB-CHC-274100,15000.0,1
GB-CHC-1113330,GB-COH-IP00525R,2185.47,1
GB-CHC-1113379,360G-blf,8084.0,1
GB-CHC-1113379,GB-CHC-230102,10000.0,1
GB-CHC-1113379,GB-COH-IP00525R,1912.67,1
GB-CHC-1114148,360G-blf,431687.0,1
GB-CHC-1114148,GB-CHC-205629,91000.0,1
GB-CHC-1114148,GB-CHC-327114,75000.0,1
GB-CHC-1114558,360G-blf,499065.0,1
GB-CHC-1114558,GB-CHC-200051,60000.0,1
GB-CHC-1114558,GB-COH-IP00525R,1838.93,1
GB-CHC-1115222,360G-blf,401000.0,1
GB-CHC-1115222,GB-CHC-230260,2000.0,1
